Country,Executed,Death_Sentence
AFGHANISTAN,34,364
ALGERIA,0,752
BAHAMAS,0,8
BAHRAIN,2,8
BANGLADESH,28,423
BARBADOS,0,1
BELARUS,9,12
BENIN,0,6
BOTSWANA,4,7
BRUNEI DARUSSALAM,0,3
BURKINA FASO,0,8
BURUNDI,0,1
CAMEROON,0,0
CENTRAL AFRICAN REPUBLIC,0,14
CHAD,0,13
CONGO (Democratic Republic),0,74
EGYPT,12,704
EQUATORIAL GUINEA,7,4
ETHIOPIA,1,55
GAMBIA,0,31
GHANA,0,31
GUATEMALA,0,1
GUINEA,0,19
GUYANA,0,7
INDIA,0,435
INDONESIA,11,35
IRAN,"1663",156
IRAQ,256,1420
JAMAICA,0,7
JAPAN,33,108
JORDAN,0,67
KENYA,0,16
KOREA (NORTH),105,0
KOREA (SOUTH),0,13
KUWAIT,1,31
LAOS,0,6
LEBANON,0,24
LIBERIA,0,15
LIBYA,39,0
MADAGASCAR,0,14
MALAWI,0,4
MALAYSIA,2,324
MALDIVES,0,1
MALI,0,41
MAURITANIA,0,33
MONGOLIA,1,45
MOROCCO,0,27
MYANMAR,0,37
NIGER,0,1
NIGERIA,0,341
OMAN,4,7
PAKISTAN,171,1497
PALESTINIAN AUTHORITY,8,33
PAPUA NEW GUINEA,0,8
QATAR,0,6
SAINT KITTS & NEVIS,1,1
SAINT VINCENT AND & THE GRENADINES,0,1
SAINT LUCIA,0,1
SAUDI ARABIA,423,54
SIERRA LEONE,0,7
SINGAPORE,4,26
SOMALIA,23,57
SRI LANKA,0,120
SUDAN,30,166
SUDAN (SOUTH),5,1
SWAZILAND,0,1
SYRIA,33,34
TAIWAN,9,45
TANZANIA,0,5
THAILAND,2,56
TRINIDAD AND TOBAGO,0,12
TUNISIA,0,27
UGANDA,0,134
UNITED ARAB EMIRATES,2,64
UNITED STATES,220,504
VIETNAM,58,258
YEMEN,152,109
ZAMBIA,0,91
ZIMBABWE,0,17
